Date,Open,High,Low,Close,Volume,Market Cap,Currency
9/22/2018,10.42,10.53,9.97,10.24,"21,731,800","1,151,981,619",$
9/21/2018,10.06,10.44,9.96,10.41,"35,228,200","1,170,624,718",$
9/20/2018,9.63,10.1,9.6,10.07,"27,983,700","962,240,914",$
9/19/2018,9.56,9.78,9.31,9.62,"22,684,800","918,743,556",$
9/18/2018,9.39,9.64,9.28,9.54,"23,016,100","911,577,251",$
9/17/2018,9.95,10.01,9.32,9.41,"22,370,800","898,320,113",$
9/16/2018,10.12,10.13,9.78,9.94,"20,623,100","949,014,340",$
9/15/2018,9.9,10.2,9.9,10.11,"27,281,100","965,660,262",$
9/14/2018,9.64,10.09,9.55,9.93,"26,124,800","948,444,130",$
9/13/2018,9.22,9.69,9.22,9.6,"24,817,100","917,308,003",$
9/12/2018,9.39,9.48,9.04,9.21,"21,323,500","880,093,458",$
9/11/2018,9.52,9.61,9.23,9.37,"18,572,100","895,330,571",$
9/10/2018,9.58,9.71,9.37,9.52,"12,427,900","909,744,366",$
9/9/2018,9.55,9.73,9.27,9.51,"13,947,300","908,575,293",$
9/8/2018,10.03,10.19,9.41,9.52,"15,053,100","909,286,861",$
9/7/2018,10.26,10.27,9.87,10.04,"16,640,400","958,687,848",$
9/6/2018,10.05,10.3,9.62,10.28,"23,466,000","982,269,890",$
9/5/2018,11.41,11.54,10.09,10.09,"29,308,300","963,396,616",$
9/4/2018,11.31,11.42,11.26,11.36,"18,878,700","1,084,945,853",$
9/3/2018,11.35,11.41,11.11,11.26,"18,644,300","1,075,576,074",$
9/2/2018,11.43,11.46,11.14,11.3,"21,757,400","1,079,234,204",$
9/1/2018,11.03,11.54,11.03,11.38,"29,776,300","1,086,875,205",$
8/31/2018,10.76,11.02,10.6,11.01,"22,638,200","1,051,955,827",$
8/30/2018,11.17,11.19,10.38,10.76,"23,247,800","1,027,963,081",$
8/29/2018,11.47,11.47,10.91,11.17,"33,530,600","1,067,209,177",$
8/28/2018,11.16,11.5,10.84,11.49,"43,860,800","1,097,066,392",$
8/27/2018,10.22,11.34,10.13,11.21,"44,953,500","1,070,962,819",$
8/26/2018,10.11,10.27,9.81,10.19,"22,551,200","972,852,355",$
8/25/2018,10.19,10.25,9.98,10.14,"19,561,400","968,095,832",$
8/24/2018,9.76,10.23,9.56,10.23,"22,814,900","977,542,020",$
8/23/2018,9.5,9.72,9.4,9.72,"17,327,500","927,907,983",$
8/22/2018,9.74,10.2,9.26,9.54,"23,929,500","911,163,682",$
8/21/2018,9.68,9.85,9.42,9.71,"13,228,100","927,868,822",$
8/20/2018,10.14,10.2,9.64,9.7,"17,617,700","926,560,301",$
8/19/2018,9.92,10.3,9.75,10.16,"21,218,500","970,044,287",$
8/18/2018,10.78,10.97,9.54,9.91,"27,803,700","946,297,964",$
8/17/2018,9.78,10.87,9.72,10.87,"37,502,400","1,038,010,999",$
8/16/2018,9.53,9.98,9.39,9.8,"24,709,700","936,245,271",$
8/15/2018,9.41,10.59,9.4,9.46,"42,994,900","903,835,961",$
8/14/2018,10.3,10.3,8.66,9.42,"39,515,200","899,738,474",$
8/13/2018,11.77,11.95,10.18,10.23,"34,827,100","976,921,189",$
8/12/2018,11.69,11.86,11.5,11.74,"23,290,300","1,121,488,944",$
8/11/2018,12.11,12.16,11.37,11.74,"29,253,100","1,120,992,279",$
8/10/2018,12.77,12.82,11.81,12.13,"37,026,400","1,158,643,315",$
8/9/2018,12.16,12.87,12.1,12.86,"41,389,000","1,228,100,022",$
8/8/2018,13.13,13.14,11.98,12.14,"44,898,500","1,159,875,427",$
8/7/2018,13.66,13.91,13.13,13.15,"45,119,500","1,255,617,180",$
8/6/2018,13.69,13.98,13.5,13.7,"46,799,600","1,308,435,605",$
8/5/2018,13.86,13.9,13.29,13.62,"43,000,300","1,301,186,205",$
8/4/2018,14.11,14.46,13.57,13.84,"60,865,200","1,322,122,550",$
8/3/2018,14.09,14.21,13.64,14.13,"70,449,300","1,350,031,309",$
8/2/2018,13.63,14.18,13.41,14.18,"50,481,200","1,354,071,489",$
8/1/2018,13.77,14.06,13.23,13.57,"53,833,700","1,296,477,437",$
7/31/2018,13.21,14.06,13.04,13.78,"66,537,000","1,315,723,211",$
7/30/2018,13.95,13.95,13.07,13.22,"35,991,600","1,262,379,467",$
7/29/2018,14.6,14.7,13.66,14.02,"56,547,100","1,339,200,189",$
7/28/2018,14.03,14.87,13.72,14.6,"75,159,904","1,394,645,209",$
7/27/2018,13.39,14.03,13.06,13.92,"66,040,700","1,329,792,206",$
7/26/2018,12.92,13.55,12.91,13.4,"61,881,400","1,279,609,926",$
7/25/2018,12.09,13.47,12.08,12.94,"72,083,200","1,235,874,742",$
7/24/2018,12.02,12.25,11.65,12.15,"46,762,700","1,160,009,144",$
7/23/2018,12.14,12.34,11.91,12.02,"28,137,700","1,148,050,977",$
7/22/2018,12.19,12.27,11.96,12.12,"20,692,400","1,157,602,229",$
7/21/2018,12.07,12.46,11.9,12.19,"28,726,700","1,163,848,748",$
7/20/2018,12.92,12.97,11.89,12.07,"40,466,000","1,152,922,115",$
7/19/2018,12.83,13.35,12.77,12.92,"49,364,800","1,233,830,774",$
7/18/2018,13.74,13.86,12.72,12.86,"75,446,304","1,228,749,507",$
7/17/2018,13.36,13.89,12.87,13.71,"74,443,200","1,563,825,403",$
7/16/2018,12.31,13.39,12.2,13.24,"47,198,600","1,509,598,770",$
7/15/2018,12.09,12.4,12.02,12.29,"26,346,900","1,401,464,818",$
